"naptan_id","name","line_ids","modes"
"9400ZZLUHGR2","Hanger Lane Station","central","tube"
"910GHANWELL","Hanwell","elizabeth","elizabeth-line"
"9100HANWELL0","Hanwell Station","elizabeth","elizabeth-line"
"910GHARLSDN","Harlesden","lioness","overground"
"940GZZLUHSN","Harlesden","bakerloo","tube"
"HUBHDN","Harlesden","bakerloo,lioness","bus,overground,tube"
"9100HARLSDN0","Harlesden Station","lioness","overground"
"9100HARLSDN1","Harlesden Station","lioness","overground"
"910GHRLDWOD","Harold Wood","elizabeth","elizabeth-line"
"9100HRLDWOD2","Harold Wood Station","elizabeth","elizabeth-line"
"910GHRGYGL","Harringay Green Lanes","suffragette","overground"
"9100HRGYGL0","Harringay Green Lanes Station","suffragette","overground"
"9100HRGYGL1","Harringay Green Lanes Station","suffragette","overground"
"910GHROW","Harrow & Wealdstone","lioness,southern,west-midlands-trains","national-rail,overground"
"940GZZLUHAW","Harrow & Wealdstone","bakerloo","tube"
"HUBHRW","Harrow & Wealdstone","bakerloo,lioness,southern,west-midlands-trains","bus,national-rail,overground,tube"
"9100HROWDC1","Harrow & Wealdstone Station","lioness","overground"
"9100HROWDC2","Harrow & Wealdstone Station","lioness","overground"
"940GZZLUHOH","Harrow-on-the-Hill","metropolitan","tube"
"HUBHOH","Harrow-on-the-Hill","114,140,182,183,186,223,258,340,395,483,640,chiltern-railways,h10,h11,h14,h17,h18,h19,h9,metropolitan,n140,n18,sl10,sl9","bus,national-rail,tube"
"9100HTCHEND0","Hatch End","lioness","overground"
"9100HTCHEND1","Hatch End","lioness","overground"
"910GHTCHEND","Hatch End","lioness","overground"
"940GZZLUHNX","Hatton Cross","piccadilly","tube"
"9400ZZLUHNX2","Hatton Cross Station","piccadilly","tube"
"910GHAYESAH","Hayes & Harlington","elizabeth,great-western-railway","elizabeth-line,national-rail"
"9100HAYESAH0","Hayes & Harlington Station","elizabeth,great-western-railway","elizabeth-line,national-rail"
"910GHEDSTNL","Headstone Lane","lioness","overground"
"9100HEDSTNL0","Headstone Lane Station","lioness","overground"
"9100HEDSTNL1","Headstone Lane Station","lioness","overground"
"HUBHX4","Heathrow Airport Terminal 4","elizabeth,piccadilly","bus,elizabeth-line,national-rail,plane,tube"
"HUBHX5","Heathrow Airport Terminal 5","350,423,482,490,elizabeth,heathrow-express,n9,piccadilly","bus,elizabeth-line,national-rail,plane,tube"
"9100HTRWTM40","Heathrow Terminal 4","elizabeth","elizabeth-line"
"910GHTRWTM4","Heathrow Terminal 4","elizabeth","elizabeth-line"
"940GZZLUHR4","Heathrow Terminal 4","piccadilly","tube"
"9100HTRWTM50","Heathrow Terminal 5","elizabeth,heathrow-express","elizabeth-line,national-rail"
"910GHTRWTM5","Heathrow Terminal 5","elizabeth,heathrow-express","elizabeth-line,national-rail"
"940GZZLUHR5","Heathrow Terminal 5","piccadilly","tube"
"9100HTRWAPT0","Heathrow Terminals 2 & 3","elizabeth,heathrow-express","elizabeth-line,national-rail"
"910GHTRWAPT","Heathrow Terminals 2 & 3","elizabeth,heathrow-express","elizabeth-line,national-rail"
"940GZZLUHRC","Heathrow Terminals 2 & 3","piccadilly","tube"
"HUBH13","Heathrow Terminals 2 & 3","105,111,278,285,a10,elizabeth,heathrow-express,n140,n9,piccadilly,sl7,sl9,u3","bus,elizabeth-line,national-rail,plane,tube"
"940GZZLUHCL","Hendon Central","northern","tube"
"9400ZZLUHCL2","Hendon Central Station","northern","tube"
"940GZZDLHEQ","Heron Quays","dlr","dlr"
"940GZZLUHBT","High Barnet","northern","tube"
"940GZZLUHSK","High Street Kensington","circle,district","tube"
"910GHGHMSPK","Highams Park","weaver","overground"
"9100HGHMSPK0","Highams Park Station","weaver","overground"
"9100HGHMSPK1","Highams Park Station","weaver","overground"
"910GHGHI","Highbury & Islington","great-northern,mildmay,windrush","national-rail,overground"
"940GZZLUHAI","Highbury & Islington","victoria","tube"
"HUBHHY","Highbury & Islington","great-northern,mildmay,victoria,windrush","bus,national-rail,overground,tube"
"9100HIGBYA3","Highbury & Islington Station","windrush","overground"
"9100HIGHBYA1","Highbury & Islington Station","mildmay","overground"
"9100HIGHBYA2","Highbury & Islington Station","mildmay,windrush","overground"
"9400ZZLUHGT2","Highgate","northern","tube"
"940GZZLUHGT","Highgate","northern","tube"
"940GZZLUHGD","Hillingdon","metropolitan,piccadilly","tube"
"940GZZLUHBN","Holborn","central,piccadilly","tube"
"940GZZLUHPK","Holland Park","central","tube"
"940GZZLUHWY","Holloway Road","153,21,263,393,43,n263,n41,piccadilly","bus,tube"
"9400ZZLUHWY2","Holloway Road Station","piccadilly","tube"
"910GHOMRTON","Homerton","mildmay","overground"
"9100HOMRTON1","Homerton Station","mildmay","overground"
"9100HOMRTON2","Homerton Station","mildmay","overground"
"910GHONROPK","Honor Oak Park","southern,windrush","national-rail,overground"
"9100HONROPK0","Honor Oak Park Station","southern,windrush","national-rail,overground"
"9100HONROPK1","Honor Oak Park Station","southern,windrush","national-rail,overground"
"940GZZLUHCH","Hornchurch","district","tube"
"940GZZLUHWC","Hounslow Central","piccadilly","tube"
"9400ZZLUHWC2","Hounslow Central Station","piccadilly","tube"
"940GZZLUHWE","Hounslow East","piccadilly","tube"
"940GZZLUHWT","Hounslow West","piccadilly","tube"
"9400ZZLUHWT2","Hounslow West Station","piccadilly","tube"
"910GHOXTON","Hoxton","windrush","overground"
"9100HOXTON0","Hoxton Station","windrush","overground"
"9100HOXTON1","Hoxton Station","windrush","overground"
"9400ZZLUHPC2","Hyde Park Corner","piccadilly","tube"
"940GZZLUHPC","Hyde Park Corner","piccadilly","tube"
"940GZZLUICK","Ickenham","metropolitan,piccadilly","tube"
"910GILFORD","Ilford","elizabeth,greater-anglia","elizabeth-line,national-rail"
"9100ILFORD2","Ilford Station","elizabeth","elizabeth-line"
"910GCSEAH","Imperial Wharf","mildmay,southern","national-rail,overground"
"HUBIMP","Imperial Wharf","mildmay,southern","bus,national-rail,overground"
"9100CSEAH0","Imperial Wharf Station","mildmay,southern","national-rail,overground"
"9100CSEAH1","Imperial Wharf Station","mildmay","overground"
"9400ZZDLISL2","Island Gardens","dlr","dlr"
"940GZZDLISL","Island Gardens","dlr","dlr"
"9100IVER1","Iver","elizabeth,great-western-railway","elizabeth-line,national-rail"
"9100IVER2","Iver","elizabeth","elizabeth-line"
"910GIVER","Iver","elizabeth,great-western-railway","elizabeth-line,national-rail"
"940GZZLUKNG","Kennington","northern","tube"
"910GKENSLG","Kensal Green","lioness","overground"
"940GZZLUKSL","Kensal Green","bakerloo","tube"
"HUBKNL","Kensal Green","bakerloo,lioness","bus,overground,tube"
"9100KENSLG0","Kensal Green Station","lioness","overground"
"9100KENSLG1","Kensal Green Station","lioness","overground"
"910GKENR","Kensal Rise","mildmay","overground"
"9100KENR0","Kensal Rise Station","mildmay","overground"
"9100KENR1","Kensal Rise Station","mildmay","overground"
"910GKENOLYM","Kensington (Olympia)","mildmay,southern","national-rail,overground"
"940GZZLUKOY","Kensington (Olympia)","district","tube"
"HUBKPA","Kensington (Olympia)","28,306,district,mildmay,n28,southern","bus,national-rail,overground,tube"
"9100KENOLYM0","Kensington (Olympia) Station","mildmay,southern","national-rail,overground"
"9100KENOLYM1","Kensington (Olympia) Station","mildmay,southern","national-rail,overground"
"940GZZLUKSH","Kentish Town","northern","tube"
"HUBKTN","Kentish Town","east-midlands-railway,northern,thameslink","bus,national-rail,tube"
"910GKNTSHTW","Kentish Town West","mildmay","overground"
"9100KNTSHTW0","Kentish Town West Station","mildmay","overground"
"9100KNTSHTW1","Kentish Town West Station","mildmay","overground"
"910GKTON","Kenton","lioness","overground"
"940GZZLUKEN","Kenton","bakerloo","tube"
"HUBKNT","Kenton","bakerloo,lioness","bus,overground,tube"
"9100KTON0","Kenton Station","lioness","overground"
"9100KTON1","Kenton Station","lioness","overground"
"910GKEWGRDN","Kew Gardens","mildmay","overground"
"940GZZLUKWG","Kew Gardens","district","tube"
"HUBKWG","Kew Gardens","district,mildmay","bus,overground,tube"
